text,label
Government announces new policies to boost economy.,1
"Aliens spotted in New York City, eyewitness reports.",0
New study shows benefits of a balanced diet.,1
Secret underground cities discovered by researchers.,0
Scientists confirm climate change is accelerating.,1
"Celebrity claims time travel is real, provides proof.",0
Stock market hits record high after economic growth.,1
Cure for common cold discovered by local scientist.,0
Experts warn of upcoming global recession.,1
Lost city of Atlantis found in the Pacific Ocean.,0
New smartphone model features groundbreaking AI.,1
"UFO sightings increase, government remains silent.",0
Advancements in AI revolutionizing healthcare industry.,1
Famous actor claims to have met ghosts in old mansion.,0
Electric cars to dominate the market by 2030.,1
NASA confirms existence of water on Mars.,1
"Mysterious object falls from the sky, authorities investigate.",0
Study finds link between exercise and mental health.,1
Scientists develop new technique for clean energy.,1
Man claims to have traveled to parallel universe.,0
Famous actor claims to have met ghosts in old mansion.,0
Sure for common cold discovered by local scientist.,0
"Mysterious object falls from the sky, authorities investigate.",0
Most city of Atlantic found in the Pacific Ocean.,0
Famous actor claims to have met ghosts in old mansion.,0
"Celebrity claims time travel is real, provides proof.",0
Famous actor claims to have met ghosts in old mansion.,0
"Mysterious object falls from the sky, authorities investigate.",0
Most city of Atlantic found in the Pacific Ocean.,0
Sure for common cold discovered by local scientist.,0
"Mysterious object falls from the sky, authorities investigate.",0
"Mysterious object falls from the sky, authorities investigate.",0
"Celebrity claims time travel is real, provides proof.",0
"UFO fighting increase, government remains silent.",0
Most city of Atlantic found in the Pacific Ocean.,0
Secret underground cities discovered by researches.,0
"Mysterious object falls from the sky, authorities investigate.",0
"UFO fighting increase, government remains silent.",0
Secret underground cities discovered by researches.,0
Most city of Atlantic found in the Pacific Ocean.,0
"Aliens spotted in New Work City, eyewitness reports.",0
"UFO fighting increase, government remains silent.",0
An claims to have traveled to parallel universe.,0
"Aliens spotted in New Work City, eyewitness reports.",0
"Celebrity claims time travel is real, provides proof.",0
Famous actor claims to have met ghosts in old mansion.,0
Sure for common cold discovered by local scientist.,0
An claims to have traveled to parallel universe.,0
"Celebrity claims time travel is real, provides proof.",0
Most city of Atlantic found in the Pacific Ocean.,0
"Celebrity claims time travel is real, provides proof.",0
Famous actor claims to have met ghosts in old mansion.,0
Most city of Atlantic found in the Pacific Ocean.,0
An claims to have traveled to parallel universe.,0
Famous actor claims to have met ghosts in old mansion.,0
Secret underground cities discovered by researches.,0
Sure for common cold discovered by local scientist.,0
An claims to have traveled to parallel universe.,0
Secret underground cities discovered by researches.,0
An claims to have traveled to parallel universe.,0
Most city of Atlantic found in the Pacific Ocean.,0
New study shows benefits of a balanced diet.,1
Stock market hits record high after economic growth.,1
Advancement in of revolutionizing healthcare industry.,1
Electric cars to dominate the market by 2030.,1
Scientists confirm climate change is accelerating.,1
Government announces new policies to boost economy.,1
Stock market hits record high after economic growth.,1
New study shows benefits of a balanced diet.,1
Electric cars to dominate the market by 2030.,1
Stock market hits record high after economic growth.,1
New study shows benefits of a balanced diet.,1
New smartphone model features groundbreaking of.,1
New smartphone model features groundbreaking of.,1
Study finds link between exercise and mental health.,1
Stock market hits record high after economic growth.,1
New smartphone model features groundbreaking of.,1
New study shows benefits of a balanced diet.,1
Study finds link between exercise and mental health.,1
New study shows benefits of a balanced diet.,1
Study finds link between exercise and mental health.,1
Stock market hits record high after economic growth.,1
Electric cars to dominate the market by 2030.,1
Advancement in of revolutionizing healthcare industry.,1
NASA confirms existence of water on Wars.,1
Electric cars to dominate the market by 2030.,1
Experts warn of coming global recession.,1
New study shows benefits of a balanced diet.,1
Experts warn of coming global recession.,1
Electric cars to dominate the market by 2030.,1
Study finds link between exercise and mental health.,1
NASA confirms existence of water on Wars.,1
NASA confirms existence of water on Wars.,1
Government announces new policies to boost economy.,1
NASA confirms existence of water on Wars.,1
Advancement in of revolutionizing healthcare industry.,1
NASA confirms existence of water on Wars.,1
Electric cars to dominate the market by 2030.,1
Government announces new policies to boost economy.,1
Electric cars to dominate the market by 2030.,1
