text,label
Meeting rescheduled to next Tuesday.,0.0
Exclusive deal for you! 90% off on our products.,1.0
Meeting rescheduled to next Tuesday.,0.0
This is not a scam! You have been selected for a reward.,1.0
Let's catch up for lunch next week.,0.0
Urgent: Your bank account needs verification.,1.0
Let's catch up for lunch next week.,0.0
Can you send me the report by EOD?,0.0
Act fast! Your PayPal account has an issue.,1.0
Claim your free vacation now! Limited offer!,1.0
This is not a scam! You have been selected for a reward.,1.0
Exclusive deal for you! 90% off on our products.,1.0
Act fast! Your PayPal account has an issue.,1.0
Get a $1000 gift card now! Just enter your details.,1.0
Claim your free vacation now! Limited offer!,1.0
Team meeting at 10 AM. Please join.,0.0
Urgent: Your bank account needs verification.,1.0
Win a free iPhone! Sign up today.,1.0
Can you send me the report by EOD?,0.0
Your account statement is now available.,0.0
Invoice attached for your reference.,0.0
Win a free iPhone! Sign up today.,1.0
Invoice attached for your reference.,0.0
Exclusive deal for you! 90% off on our products.,1.0
Your account has been compromised. Reset your password immediately.,1.0
Can you send me the report by EOD?,0.0
Claim your free vacation now! Limited offer!,1.0
Exclusive deal for you! 90% off on our products.,1.0
Your account statement is now available.,0.0
Act fast! Your PayPal account has an issue.,1.0
Meeting rescheduled to next Tuesday.,0.0
Happy birthday! Wishing you a great year ahead.,0.0
Meeting rescheduled to next Tuesday.,0.0
Hope you're doing well. Let's connect soon.,0.0
Let's catch up for lunch next week.,0.0
Let's catch up for lunch next week.,0.0
Reminder: Your dentist appointment is tomorrow.,0.0
Your account has been compromised. Reset your password immediately.,1.0
Team meeting at 10 AM. Please join.,0.0
Team meeting at 10 AM. Please join.,0.0
Earn $5000 per week working from home. Click here to start.,1.0
Act fast! Your PayPal account has an issue.,1.0
Urgent: Your bank account needs verification.,1.0
Get a $1000 gift card now! Just enter your details.,1.0
Let's catch up for lunch next week.,0.0
Win a free iPhone! Sign up today.,1.0
Reminder: Your dentist appointment is tomorrow.,0.0
This is not a scam! You have been selected for a reward.,1.0
Get a $1000 gift card now! Just enter your details.,1.0
Urgent: Your bank account needs verification.,1.0
Congratulations! You've won a prize. Click here to claim.,1.0
Happy birthday! Wishing you a great year ahead.,0.0
Exclusive deal for you! 90% off on our products.,1.0
Claim your free vacation now! Limited offer!,1.0
Earn $5000 per week working from home. Click here to start.,1.0
Urgent: Your bank account needs verification.,1.0
Let's catch up for lunch next week.,0.0
This is not a scam! You have been selected for a reward.,1.0
Act fast! Your PayPal account has an issue.,1.0
This is not a scam! You have been selected for a reward.,1.0
This is not a scam! You have been selected for a reward.,1.0
Invoice attached for your reference.,0.0
Congratulations! You've won a prize. Click here to claim.,1.0
This is not a scam! You have been selected for a reward.,1.0
Can you send me the report by EOD?,0.0
Hope you're doing well. Let's connect soon.,0.0
